V1 Story/Defect,CAPRS IM
S-07539,IM11053050
S-10252,IM11043699
S-10288,IM10998492
S-10996,IM10992811
S-11319,IM11052084
S-11650,IM10874265
S-12172,IM11006968
S-12323,IM10988998
S-12364,IM10988998
S-12550,IM10991593
S-12555,IM10990695
S-12593,IM10991644
S-12660,IM10991593
S-12709,IM10991623
S-12770,IM10991623
S-12771,IM10991623
S-13027,IM10990695
S-13176,IM11007222
S-13177,IM11007222
S-13654,IM11017653
S-13688,IM11003379
S-13689,IM11003379
S-13690,IM11003379
S-13691,IM11003379
S-13952,IM11039749
S-14227,IM11020902
S-14228,IM11027062
S-14231,IM11020902
S-14262,IM11025717
S-14264,IM11025717
S-14341,IM11027062
S-14456,IM11035460
S-14555,IM11035389
S-14569,IM11033189
S-14580,IM11033155
S-14851,IM11037225
S-14907,IM11037034
S-14939,IM11033155
S-14946,IM11037792
S-14980,IM11040091
S-14984,IM11038800
S-14995,IM11040367
S-15070,IM11036777
S-15096,IM11041436
S-15101,IM11041436
S-15158,IM11042061
S-15200,IM11042577
S-15214,IM11042894
S-15282,IM11043539
S-15324,IM11043000
S-15330,IM11043699
S-15331,IM11043000
S-15341,IM11043000
S-15364,IM11044664
S-15400,IM11044779
S-15414,IM11043724
S-15418,IM11045369
S-15420,IM11043000
S-15421,IM11043000
S-15442,IM11045586
S-15490,IM11045537
S-15492,IM11045537
S-15519,IM11046227
S-15520,IM11046227
S-15521,IM11045874
S-15522,IM11046227
S-15528,IM11045874
S-15552,IM11046594
S-15555,IM11046227
S-15595,IM11047190
S-15597,IM11047190
S-15604,IM11047990
S-15606,IM11047990
S-15610,IM11047990
S-15621,IM11046227
S-15662,IM11047791
S-15673,IM11047791
S-15674,IM11047791
S-15675,IM11046690
S-15683,IM11046573
S-15702,IM11043724
S-15703,IM11049357
S-15708,IM11047791
S-15709,IM11047791
S-15798,IM11047190
S-15823,IM11050403
S-15843,IM11051636
S-15860,IM11046148
S-15862,IM11052035
S-15865,IM11046690
S-15880,IM11052373
S-15898,IM11045874
S-15928,IM11053250
S-15959,IM11053389
S-15980,IM11051817
S-15985,IM11052058
S-16006,IM11053693
S-16008,IM11053050
S-16050,IM11052373
S-16053,IM11055516
S-16102,IM11055882
S-16107,IM11053826
S-16122,IM11056588
S-17159,IM11057024
S-17175,IM11057164
S-17202,IM11058190
S-17205,IM11057154
S-17206,IM11057154
S-17208,IM11058238
S-17230,IM11058344
S-17286,IM11055516
S-17300,IM11058985
S-10996,IM10860471
S-12172,IM11006981
S-12323,IM10987286
S-12364,IM10987286
S-12660,IM11008311
S-14227,IM11027356
S-14231,IM11027356
S-14851,IM11037067
S-15324,IM11045212
S-15331,IM11045212
S-15341,IM11045212
S-15420,IM11045212
S-15421,IM11045212
S-15610,IM11048247
S-17159,IM11057026
D-01521,IM10864315
D-01553,IM10864315
D-01619,IM10877224
D-01702,IM10984101
D-01761,IM10994332
D-01764,IM10989624
D-01767,IM10877224
D-01783,IM10991956
D-01786,IM10998988
D-01792,IM10992891
D-01799,IM10991623
D-01850,IM11003672
D-01851,IM11003250
D-01855,IM11004579
D-01984,IM11018137
D-01995,IM11018203
D-01997,IM11018203
D-02016,IM11018224
D-02017,IM11018044
D-02021,IM11022507
D-02035,IM11021918
D-02042,IM11018500
D-02061,IM11026961
D-02064,IM11022880
D-02073,IM11022507
D-02090,IM11040453
D-02101,IM11027028
D-02107,IM11025719
D-02108,IM11025719
D-02121,IM11028456
D-02122,IM11029415
D-02131,IM11030229
D-02157,IM11033273
D-02175,IM11034140
D-02176,IM11030173
D-02211,IM11037225
D-02238,IM11038812
D-02239,IM11037225
D-02241,IM11038812
D-02242,IM11037225
D-02244,IM11039973
D-02280,IM11043523
D-02285,IM11043719
D-02286,IM11043724
D-02287,IM11043724
D-02292,IM11044762
D-02294,IM11044762
D-02296,IM11044714
D-02298,IM11045200
D-02301,IM11045740
D-02304,IM11045200
D-02320,IM11046690
D-02325,IM11047990
D-02326,IM11047990
D-02327,IM11047990
D-02328,IM11047990
D-02329,IM11046590
D-02345,IM11046679
D-02353,IM11049531
D-02374,IM11052079
D-02377,IM11052467
D-02378,IM11052467
D-02379,IM11052467
D-02430,IM11057164
D-02441,IM11058838
D-02442,IM11058838
D-02021,IM11031083
D-02073,IM11024637
D-02107,IM11026726
D-02108,IM11026726
D-02176,IM11029443
D-02211,IM11037225
D-02239,IM11037225
D-02242,IM11037225
D-02292,IM11044714
D-02294,IM11044714
