CAPRS,Story/Defect,Release,Iteration,Backlog Group
IM10860471,S-10996,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Evidence Request and Receipt
IM10864315,D-01521,0.91.0 - 4/1/17 Release at end of PI5,PI5-Sprint 5,Delivery & Delivery Failure
IM10874265,S-11650,0.91.0 - 4/1/17 Release at end of PI5,PI5-Sprint 7,Architecture
IM10877224,D-01619,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Fiscal
IM10877224,D-01767,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Fiscal
IM10984101,D-01702,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Fiscal
IM10987286,S-12323,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 1,Architecture
IM10987286,S-12364,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 1,Fiscal
IM10988998,S-12323,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 1,Architecture
IM10988998,S-12364,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 1,Fiscal
IM10989624,D-01764,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 4,Correspondence
IM10990695,S-12555,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal SPA Interface
IM10990695,S-13027,0.91.2 - 6/3/17 Maintenance Release during PI6,PI6-Sprint 5,Fiscal SPA Interface
IM10991593,S-12550,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 6,UX
IM10991593,S-12660,0.92.1 - 8/5/17 Maintenance Release during PI7,PI6-Sprint 6,Fiscal
IM10991623,D-01799,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Evidence Request and Receipt
IM10991623,S-12709,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM10991623,S-12770,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal
IM10991623,S-12771,0.92.1 - 8/5/17 Maintenance Release during PI7,PI6-Sprint 6,Fiscal
IM10991956,D-01783,0.91.1 - 5/6/17 Maintenance Release during PI6,PI6-Sprint 2,Architecture
IM10992811,S-10996,0.93.0 - 10/14/17 Release at end of PI7,PI7-Sprint 6,Evidence Request and Receipt
IM10992891,D-01792,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 3,Correspondence
IM10994332,D-01761,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM10998492,S-10288,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Delivery & Delivery Failure
IM10998988,D-01786,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Fiscal
IM11003250,D-01851,0.92.1 - 8/5/17 Maintenance Release during PI7,PI7-Sprint 1,Fiscal
IM11003379,S-13688,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13689,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13690,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003379,S-13691,1.3.0 - 4/28/18 Release at end of PI9,,Fiscal
IM11003672,D-01850,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Receipt and Assign
IM11004579,D-01855,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Architecture
IM11006968,S-12172,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM11006981,S-12172,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 2,Correspondence
IM11007222,S-13176,0.92.0 - 7/8/17 Release at end of PI6,PI6-Sprint 5,Federal QA
